,RestaurantID,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude,isClosed,insertedAtTimestamp
2985,CAXzWJyV2UzYMAImM_YkWA,The Grill,american,4.0,188,99 E 52nd St,10022.0,40.758323,-73.97189200000001,False,03/03/2020 18:04:42
2986,FBB7VTxx3gwsXwEUNRt6lg,TAK Room,american,4.0,110,20 Hudson Yards,10001.0,40.7491302490234,-73.9923629760742,False,03/03/2020 18:04:42
2987,CDNPBE5mB5Zl-3LqK-BAnw,The Banty Rooster,american,4.5,18,24 Greenwich Ave,10011.0,40.734961,-73.99984599999999,False,03/03/2020 18:04:42
2988,0EtZ1xhnXWp4-ysNVwItYA,Distilled,american,4.0,774,211 W Broadway,10013.0,40.7189994,-74.0062975,False,03/03/2020 18:04:42
2989,JXcYD52B4190gIh6_RSXCg,Lilly's Craft and Kitchen,american,4.0,993,675 9th Ave,10036.0,40.761379999999996,-73.99070999999999,False,03/03/2020 18:04:42
2990,G-J99nXShLckBGZkQnzhEA,BarBacon Union Square,american,4.0,142,127 4th Ave,10003.0,40.73324,-73.9896,False,03/03/2020 18:04:42
2991,aSbrPkclNZXBtA2k69Agsw,Ruby's Vintage Harlem,american,4.0,41,2340 Acp,10030.0,40.817149,-73.94304699999999,False,03/03/2020 18:04:42
2992,bW3mY-voyav37nU0uaLmNQ,Dante,american,4.0,332,79-81 Macdougal St,10012.0,40.728790000000004,-74.00165,False,03/03/2020 18:04:42
2993,toxwdOCz37bX5dJ_O1h2Ew,Sugarcane Raw Bar Grill,american,4.0,579,55 Water St,11201.0,40.703799,-73.992343,False,03/03/2020 18:04:42
2994,6hKJePanmG9AxK4dfwgyyg,The Horny Ram,american,4.0,472,951 2nd Ave,10022.0,40.75528,-73.96857,False,03/03/2020 18:04:42
2995,DIqsYe-HJS8etyDyXNovBg,Seamores,american,4.0,710,390 Broome St,10013.0,40.72074,-73.99696,False,03/03/2020 18:04:42
2996,19zArMBG2qW2k16Y0i2aBA,Obicà Mozzarella Bar Pizza e Cucina,american,3.5,444,928 Broadway,10010.0,40.7400486,-73.98930179999999,False,03/03/2020 18:04:42
2975,Bdneg2FELG-GNQnc-zq1YA,Momofuku Kāwi,american,4.0,181,20 Hudson Yards,10001.0,40.7538408290715,-74.0003704647111,False,03/03/2020 18:04:35
2997,OYKNRBU-unLF-r0bRZwY3A,Peaches,american,3.5,1099,393 Lewis Ave,11233.0,40.6818070319111,-73.9346463688382,False,03/03/2020 18:04:42
2974,zZpuUqF0iENnyYd2UYIX6w,Locksmith Bar,american,4.0,329,4463 Broadway,10040.0,40.8573807,-73.93256590000001,False,03/03/2020 18:04:35
2972,w9I5sGHkwOyLe1yFQ0XBeg,Silver Light Tavern,american,4.5,56,689 Lorimer St,11211.0,40.71747,-73.95005,False,03/03/2020 18:04:35
2951,uTS2GevPXqsFKMgdpp5Txw,Friedman's,american,3.5,313,1187 Amsterdam Ave,10027.0,40.808271000000005,-73.95981,False,03/03/2020 18:04:34
2952,NESMnB6RYx9lPbWLLswFLA,American Legion Post 398,american,4.0,34,248 W 132nd St,10027.0,40.81397,-73.94676,False,03/03/2020 18:04:34
2953,blaTQKod-nz94F3Fm_ZoYQ,Osteria Laura,american,5.0,17,1890 Adam Clayton Powell Jr Blvd,10026.0,40.80251,-73.95355,False,03/03/2020 18:04:34
2954,FJepPR5CYRggxRwAjlqg6A,Bowery Road,american,4.0,213,132 4th Ave,10003.0,40.7333427,-73.99019240000001,False,03/03/2020 18:04:34
2955,n-JSnKZcF1Bs-RPcIlb0qw,Elephant & Castle,american,4.0,536,68 Greenwich Ave,10011.0,40.736214000000004,-74.000729,False,03/03/2020 18:04:34
2956,bRPq-Nmct5bOuOtsu8fC7Q,S'MAC,american,3.5,2186,197 1st Ave,10003.0,40.730212,-73.983724,False,03/03/2020 18:04:34
2957,gJg_Gh2lqrCprDzR6ZP9QQ,Bar314,american,4.5,60,1260 Amsterdam Ave,10027.0,40.810854,-73.958384,False,03/03/2020 18:04:34
2958,jEkqVhK6lSfTR6Hw564CDw,Farm to Burger,american,4.0,48,310 West 40th St,10018.0,40.756159999999994,-73.99171,False,03/03/2020 18:04:34
